City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,traverse city,44.7631,-85.6206,-10.94,76,100,4.63,US,1675116904
370,leningradskiy,69.3833,178.4167,-14.88,96,100,4.05,RU,1675116905
371,hirara,24.8,125.2833,12.15,76,20,2.06,JP,1675116905
372,birjand,32.8663,59.2211,4.18,94,94,3.17,IR,1675116906
373,shingu,33.7333,135.9833,-0.44,79,4,2.97,JP,1675116906
374,kadaya,50.9327,119.2911,-27.24,100,100,0.63,RU,1675116907
375,srednekolymsk,67.45,153.6833,-19.44,98,100,5.95,RU,1675116908
376,zhanaozen,43.3,52.8,-1.72,51,42,3.77,KZ,1675116909
377,rabo de peixe,37.8,-25.5833,11.73,82,40,3.6,PT,1675116910
378,champasak,14.75,106.0,15.01,79,17,0.41,LA,1675116911
379,mount gambier,-37.8333,140.7667,15.98,69,6,1.58,AU,1675116911
380,la estancia,20.4167,-100.0667,26.68,20,4,3.69,MX,1675116912
381,padang,-0.9492,100.3543,24.45,90,98,1.99,ID,1675116912
382,mossendjo,-2.9506,12.7261,20.48,99,100,0.46,CG,1675116913
383,wamba,8.9333,8.6,28.39,28,51,1.78,NG,1675116913
384,kurchum,48.5722,83.6542,-25.32,96,46,0.24,KZ,1675116914
385,chupaca,-12.0667,-75.2833,12.69,76,100,3.41,PE,1675116914
386,henties bay,-22.116,14.2845,17.88,83,92,3.62,NA,1675116915
387,grindavik,63.8424,-22.4338,0.26,100,100,19.03,IS,1675116916
388,kruisfontein,-34.0033,24.7314,19.94,81,82,6.23,ZA,1675116916
389,haines junction,60.7522,-137.5108,-4.7,93,100,0.38,CA,1675116916
390,fukue,32.6881,128.8419,7.3,50,5,1.9,JP,1675116917
391,mercedes,-34.6515,-59.4307,30.91,29,0,4.08,AR,1675116917
392,cordele,31.9635,-83.7824,20.81,95,100,2.06,US,1675116918
393,kyabe,9.4515,18.9449,29.17,14,0,1.5,TD,1675116918
394,la primavera,5.4906,-70.4092,33.35,29,42,3.73,CO,1675116919
395,cabinda,-5.55,12.2,25.44,86,98,2.83,AO,1675116919
396,havelock,34.8791,-76.9013,15.97,89,100,2.06,US,1675116920
397,ocos,14.5094,-92.1933,31.1,57,0,5.27,GT,1675116920
398,guaruja,-23.9931,-46.2564,27.69,26,95,3.58,BR,1675116920
399,igarka,67.4667,86.5833,-20.95,96,100,7.22,RU,1675116921
400,tamandare,-8.7597,-35.1047,26.06,74,29,3.62,BR,1675116921
401,oistins,13.0667,-59.5333,25.05,69,20,4.12,BB,1675116776
402,la tuque,47.4334,-72.7824,-12.0,97,100,0.73,CA,1675116922
403,svetlaya,46.5389,138.3297,-17.17,80,0,3.05,RU,1675116922
404,shahrud,36.4182,54.9763,1.84,84,100,1.31,IR,1675116923
405,liberal,37.0431,-100.921,-8.92,73,100,3.6,US,1675116923
406,bathsheba,13.2167,-59.5167,25.34,69,20,4.12,BB,1675116923
407,ondjiva,-17.0667,15.7333,20.5,85,100,1.37,AO,1675116680
408,camargo,27.6667,-105.1667,25.28,11,84,7.04,MX,1675116924
409,honiara,-9.4333,159.95,28.18,70,94,0.62,SB,1675116924
410,tiznit,29.5833,-9.5,10.38,48,38,1.82,MA,1675116925
411,poya,-21.35,165.15,26.02,73,83,0.44,NC,1675116925
412,okhotsk,59.3833,143.3,-18.63,76,100,6.32,RU,1675116926
413,qinggang,46.6833,126.0833,-21.63,100,100,1.84,CN,1675116926
414,coos bay,43.3665,-124.2179,9.02,61,0,2.57,US,1675116466
415,mamallapuram,12.6264,80.1722,28.03,81,99,5.33,IN,1675116927
416,vallenar,-28.5708,-70.7581,26.47,38,10,3.98,CL,1675116927
417,varhaug,58.6147,5.6457,2.75,66,65,11.18,NO,1675116927
418,southbridge,42.0751,-72.0334,9.17,76,40,1.58,US,1675116928
419,mayo,38.8876,-76.5119,15.2,65,0,3.09,US,1675116928
